Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
22/07/2024,PA010,Tokyo,New York,Economy,"2,380.00",Yes,0,Egg Free
20/04/2024,PA002,New York,London,Economy,"3,490.00",Yes,1,Vegan
23/01/2024,PA010,Tokyo,New York,Premium Economy,825.00,Yes,1,Vegetarian
05/06/2024,PA006,Tokyo,London,First Class,618.00,Yes,3,Vegan
30/03/2024,PA004,Perth,London,First Class,446.00,Yes,1,Nut Free
14/06/2024,PA006,Tokyo,London,Premium Economy,"1,062.50",Yes,3,Egg Free
15/07/2024,PA006,Tokyo,London,First Class,499.00,Yes,1,Egg Free
25/02/2024,PA004,Perth,London,Premium Economy,827.50,Yes,0,Vegetarian
26/07/2024,PA004,Perth,London,Economy,"2,245.00",Yes,1,Vegan
10/12/2024,PA004,Perth,London,Business Class,391.20,Yes,2,Vegetarian
23/09/2024,PA005,London,Tokyo,First Class,626.00,Yes,2,Vegetarian
04/06/2024,PA006,Tokyo,London,First Class,537.00,Yes,2,Dairy Free
16/04/2024,PA008,Perth,New York,First Class,216.00,Yes,0,Vegan
21/06/2024,PA004,Perth,London,Business Class,646.80,Yes,3,
20/10/2024,PA003,London,Perth,Economy,"2,215.00",Yes,3,Nut Free
17/02/2024,PA003,London,Perth,Business Class,784.80,Yes,3,Vegan
28/05/2024,PA005,London,Tokyo,Economy,"1,505.00",Yes,2,Dairy Free
19/06/2024,PA003,London,Perth,First Class,454.00,Yes,1,Dairy Free
11/02/2024,PA012,Tokyo,Perth,Premium Economy,"1,142.50",Yes,3,Vegan
17/01/2024,PA006,Tokyo,London,Business Class,712.80,Yes,3,Vegetarian
08/04/2024,PA003,London,Perth,First Class,525.00,Yes,2,Dairy Free
12/04/2024,PA007,New York,Perth,First Class,696.00,Yes,1,Vegetarian
03/09/2024,PA004,Perth,London,Economy,"3,445.00",Yes,0,Vegetarian
02/11/2024,PA008,Perth,New York,First Class,242.00,Yes,2,Egg Free
11/01/2024,PA002,New York,London,First Class,406.00,Yes,3,Vegan
07/08/2024,PA005,London,Tokyo,Business Class,739.20,Yes,0,Nut Free
25/02/2024,PA010,Tokyo,New York,Economy,"1,495.00",Yes,3,Egg Free
04/12/2024,PA003,London,Perth,Economy,"2,820.00",Yes,0,Vegetarian
13/02/2024,PA005,London,Tokyo,First Class,693.00,Yes,2,
23/03/2024,PA005,London,Tokyo,Economy,"3,375.00",Yes,2,
09/10/2024,PA012,Tokyo,Perth,Economy,"1,340.00",Yes,2,Nut Free
05/07/2024,PA005,London,Tokyo,Premium Economy,"1,677.50",Yes,3,Dairy Free
09/06/2024,PA003,London,Perth,Business Class,432.00,Yes,1,Vegan
16/04/2024,PA010,Tokyo,New York,Economy,"3,105.00",Yes,1,Dairy Free
19/08/2024,PA001,London,New York,Economy,"2,550.00",Yes,3,Dairy Free
16/07/2024,PA003,London,Perth,First Class,284.00,Yes,3,Nut Free
31/05/2024,PA009,New York,Tokyo,Economy,"2,450.00",Yes,3,
25/07/2024,PA007,New York,Perth,Business Class,573.60,Yes,1,Vegan
21/11/2024,PA006,Tokyo,London,Economy,"2,270.00",Yes,2,Dairy Free
28/07/2024,PA010,Tokyo,New York,Premium Economy,"1,020.00",Yes,0,Nut Free
16/08/2024,PA007,New York,Perth,Premium Economy,"1,665.00",Yes,3,Egg Free
18/03/2024,PA003,London,Perth,Business Class,615.60,Yes,3,Nut Free
