Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type,From_latitude,From_longitude,To_latitude,To_longitude
28/09/2024,PA008,Perth,New York,Economy,"1,855.00",No,2,Vegetarian,-31.9558933,115.8605855,40.7127281,-74.0060152
01/10/2024,PA008,Perth,New York,Business Class,634.80,No,0,Vegetarian,-31.9558933,115.8605855,40.7127281,-74.0060152
04/03/2024,PA007,New York,Perth,Business Class,458.40,No,3,Nut Free,40.7127281,-74.0060152,-31.9558933,115.8605855
25/02/2024,PA010,Tokyo,New York,Premium Economy,"1,435.00",No,0,,35.6821936,139.762221,40.7127281,-74.0060152
29/03/2024,PA004,Perth,London,Economy,"2,730.00",No,2,Vegan,-31.9558933,115.8605855,51.5074456,-0.1277653
07/06/2024,PA005,London,Tokyo,Business Class,294.00,No,2,Egg Free,51.5074456,-0.1277653,35.6821936,139.762221
30/06/2024,PA009,New York,Tokyo,First Class,236.00,No,1,Vegetarian,40.7127281,-74.0060152,35.6821936,139.762221
12/08/2024,PA011,Perth,Tokyo,Economy,"2,570.00",No,2,Vegan,-31.9558933,115.8605855,35.6821936,139.762221
05/11/2024,PA010,Tokyo,New York,First Class,397.00,No,2,,35.6821936,139.762221,40.7127281,-74.0060152
19/03/2024,PA003,London,Perth,First Class,585.00,No,2,Egg Free,51.5074456,-0.1277653,-31.9558933,115.8605855
19/02/2024,PA011,Perth,Tokyo,Premium Economy,630.00,No,3,Nut Free,-31.9558933,115.8605855,35.6821936,139.762221
10/03/2024,PA011,Perth,Tokyo,Business Class,556.80,No,3,Dairy Free,-31.9558933,115.8605855,35.6821936,139.762221
21/12/2024,PA006,Tokyo,London,Business Class,307.20,No,3,Nut Free,35.6821936,139.762221,51.5074456,-0.1277653
18/12/2024,PA002,New York,London,Premium Economy,917.50,No,2,Dairy Free,40.7127281,-74.0060152,51.5074456,-0.1277653
16/06/2024,PA012,Tokyo,Perth,Business Class,555.60,No,1,Vegetarian,35.6821936,139.762221,-31.9558933,115.8605855
07/03/2024,PA006,Tokyo,London,Business Class,811.20,No,0,Egg Free,35.6821936,139.762221,51.5074456,-0.1277653
29/07/2024,PA008,Perth,New York,Economy,"2,225.00",No,0,Nut Free,-31.9558933,115.8605855,40.7127281,-74.0060152
04/07/2024,PA004,Perth,London,Economy,"2,705.00",No,0,Egg Free,-31.9558933,115.8605855,51.5074456,-0.1277653
06/01/2024,PA011,Perth,Tokyo,Premium Economy,632.50,No,1,Dairy Free,-31.9558933,115.8605855,35.6821936,139.762221
31/08/2024,PA012,Tokyo,Perth,Premium Economy,"1,207.50",No,2,Dairy Free,35.6821936,139.762221,-31.9558933,115.8605855
26/03/2024,PA008,Perth,New York,Business Class,484.80,No,2,Egg Free,-31.9558933,115.8605855,40.7127281,-74.0060152
17/11/2024,PA009,New York,Tokyo,First Class,578.00,No,2,Vegan,40.7127281,-74.0060152,35.6821936,139.762221
12/02/2024,PA010,Tokyo,New York,Premium Economy,842.50,No,2,Vegan,35.6821936,139.762221,40.7127281,-74.0060152
05/05/2024,PA012,Tokyo,Perth,Business Class,788.40,No,1,Egg Free,35.6821936,139.762221,-31.9558933,115.8605855
30/08/2024,PA005,London,Tokyo,First Class,417.00,No,2,Egg Free,51.5074456,-0.1277653,35.6821936,139.762221
