quarter,flow card?,business class,economy,first class,premium economy,aggregation type
1,No,1075.0,438.0,2340.0,574.8,median
1,Yes,1160.0,447.5,2325.0,523.1999999999999,median
2,No,1205.0,445.0,2325.0,553.8,median
2,Yes,1071.25,459.0,2290.0,517.8,median
3,No,1125.0,487.0,2285.0,490.8,median
3,Yes,1090.0,457.0,2347.5,553.8,median
4,No,1062.5,428.0,2202.5,555.6,median
4,Yes,1108.75,424.0,2212.5,522.5999999999999,median
1,No,515.0,204.0,1030.0,241.2,minimum
1,Yes,502.5,201.0,1020.0,249.6,minimum
2,No,507.5,202.0,1000.0,240.0,minimum
2,Yes,500.0,200.0,1020.0,240.0,minimum
3,No,517.5,201.0,1000.0,240.0,minimum
3,Yes,502.5,206.0,1005.0,241.2,minimum
4,No,510.0,200.0,1015.0,240.0,minimum
4,Yes,505.0,205.0,1030.0,249.6,minimum
1,No,1702.5,699.0,3455.0,834.0,maximum
1,Yes,1737.5,698.0,3500.0,840.0,maximum
2,No,1745.0,694.0,3480.0,828.0,maximum
2,Yes,1737.5,696.0,3490.0,840.0,maximum
3,No,1747.5,691.0,3475.0,838.8,maximum
3,Yes,1750.0,697.0,3495.0,840.0,maximum
4,No,1730.0,698.0,3465.0,835.1999999999999,maximum
4,Yes,1722.5,697.0,3460.0,834.0,maximum
