month,class,total price,target,difference to target
1.0,BC,67297.5,85000.0,-17702.5
1.0,E,36081.0,31000.0,5081.0
1.0,FC,193960.0,120000.0,73960.0
1.0,PE,48555.6,40000.0,8555.599999999999
2.0,BC,69222.5,86000.0,-16777.5
2.0,E,30968.0,31500.0,-532.0
2.0,FC,145665.0,130000.0,15665.0
2.0,PE,46335.6,40500.0,5835.5999999999985
3.0,BC,84357.5,87000.0,-2642.5
3.0,E,31829.0,32000.0,-171.0
3.0,FC,152315.0,140000.0,12315.0
3.0,PE,47875.2,41000.0,6875.199999999997
4.0,BC,81522.5,88000.0,-6477.5
4.0,E,31333.0,34000.0,-2667.0
4.0,FC,224415.0,160000.0,64415.0
4.0,PE,38233.2,42500.0,-4266.800000000003
5.0,BC,85065.0,89000.0,-3935.0
5.0,E,42898.0,34500.0,8398.0
5.0,FC,171610.0,170000.0,1610.0
5.0,PE,43833.6,43000.0,833.5999999999985
6.0,BC,85735.0,90000.0,-4265.0
6.0,E,31440.0,35000.0,-3560.0
6.0,FC,149725.0,180000.0,-30275.0
6.0,PE,46538.4,43500.0,3038.4000000000015
7.0,BC,97490.0,92000.0,5490.0
7.0,E,38941.0,37000.0,1941.0
7.0,FC,172425.0,190000.0,-17575.0
7.0,PE,40258.8,46000.0,-5741.199999999997
8.0,BC,106852.5,93000.0,13852.5
8.0,E,32820.0,37500.0,-4680.0
8.0,FC,209625.0,200000.0,9625.0
8.0,PE,41468.4,46500.0,-5031.5999999999985
9.0,BC,87590.0,95000.0,-7410.0
9.0,E,27724.0,38000.0,-10276.0
9.0,FC,200960.0,210000.0,-9040.0
9.0,PE,42054.0,47000.0,-4946.0
10.0,BC,94135.0,98000.0,-3865.0
10.0,E,32500.0,39000.0,-6500.0
10.0,FC,186185.0,220000.0,-33815.0
10.0,PE,43689.6,48000.0,-4310.4000000000015
11.0,BC,85970.0,99000.0,-13030.0
11.0,E,34023.0,39500.0,-5477.0
11.0,FC,154595.0,230000.0,-75405.0
11.0,PE,39372.0,48500.0,-9128.0
12.0,BC,100485.0,100000.0,485.0
12.0,E,43588.0,40000.0,3588.0
12.0,FC,188015.0,240000.0,-51985.0
12.0,PE,45348.0,49000.0,-3652.0
