flight number,flight date,customer id,action,date,class,row,seat,total seats booked over time,capacity,capacity %
PA001,2024-03-05,1027.0,Seat Changed,2023-12-12,Business,16.0,4.0,1.0,40,0.025
PA001,2024-03-05,3632.0,Seat Changed,2023-12-29,Business,11.0,2.0,2.0,40,0.05
PA001,2024-03-05,3111.0,Seat Changed,2023-12-31,Business,14.0,2.0,3.0,40,0.075
PA001,2024-03-05,4963.0,Seat Changed,2024-01-04,Business,14.0,2.0,4.0,40,0.1
PA001,2024-03-05,8518.0,Booked,2024-01-18,Business,18.0,4.0,5.0,40,0.125
PA001,2024-03-05,6353.0,Booked,2024-01-20,Business,18.0,1.0,6.0,40,0.15
PA001,2024-03-05,8457.0,Seat Changed,2024-01-27,Business,9.0,1.0,7.0,40,0.175
PA001,2024-03-05,7924.0,Seat Changed,2024-01-30,Business,17.0,3.0,8.0,40,0.2
PA001,2024-03-05,3514.0,Seat Changed,2024-02-10,Business,16.0,1.0,9.0,40,0.225
PA001,2024-03-05,8462.0,Seat Changed,2024-02-12,Business,9.0,3.0,10.0,40,0.25
PA001,2024-03-05,330.0,Seat Changed,2024-02-13,Business,9.0,1.0,11.0,40,0.275
PA001,2024-03-05,6624.0,Seat Changed,2024-02-15,Business,11.0,2.0,12.0,40,0.3
PA001,2024-03-05,6170.0,Seat Changed,2024-02-19,Business,14.0,3.0,13.0,40,0.325
PA001,2024-03-05,2296.0,Seat Changed,2024-02-22,Business,9.0,3.0,14.0,40,0.35
PA001,2024-03-05,6734.0,Seat Changed,2024-02-22,Business,11.0,1.0,15.0,40,0.375
PA001,2024-03-05,9933.0,Seat Changed,2024-02-24,Business,18.0,3.0,16.0,40,0.4
PA001,2024-03-05,7150.0,Seat Changed,2024-03-01,Business,10.0,1.0,17.0,40,0.425
PA001,2024-03-05,,,,Economy,,,0.0,160,0.0
PA001,2024-03-05,7019.0,Booked,2023-12-03,First,3.0,3.0,1.0,32,0.03125
PA001,2024-03-05,9481.0,Upgraded,2023-12-19,First,6.0,4.0,2.0,32,0.0625
PA001,2024-03-05,7961.0,Booked,2023-12-22,First,5.0,3.0,3.0,32,0.09375
PA001,2024-03-05,9695.0,Booked,2023-12-23,First,5.0,4.0,4.0,32,0.125
PA001,2024-03-05,72.0,Booked,2023-12-25,First,8.0,2.0,5.0,32,0.15625
PA001,2024-03-05,8172.0,Seat Changed,2023-12-26,First,1.0,3.0,6.0,32,0.1875
PA001,2024-03-05,4610.0,Booked,2023-12-27,First,1.0,2.0,7.0,32,0.21875
PA001,2024-03-05,6850.0,Seat Changed,2023-12-27,First,1.0,1.0,8.0,32,0.25
PA001,2024-03-05,9075.0,Seat Changed,2023-12-28,First,7.0,1.0,9.0,32,0.28125
PA001,2024-03-05,228.0,Upgraded,2024-01-02,First,7.0,2.0,10.0,32,0.3125
PA001,2024-03-05,7861.0,Seat Changed,2024-01-08,First,4.0,1.0,11.0,32,0.34375
PA001,2024-03-05,7687.0,Upgraded,2024-01-12,First,3.0,3.0,12.0,32,0.375
PA001,2024-03-05,4636.0,Seat Changed,2024-01-16,First,2.0,4.0,13.0,32,0.40625
PA001,2024-03-05,2271.0,Booked,2024-01-24,First,4.0,1.0,14.0,32,0.4375
PA001,2024-03-05,3591.0,Upgraded,2024-01-24,First,3.0,2.0,15.0,32,0.46875
PA001,2024-03-05,3181.0,Seat Changed,2024-01-27,First,8.0,4.0,16.0,32,0.5
PA001,2024-03-05,9474.0,Booked,2024-01-28,First,8.0,3.0,17.0,32,0.53125
PA001,2024-03-05,8822.0,Upgraded,2024-01-30,First,6.0,4.0,18.0,32,0.5625
PA001,2024-03-05,82.0,Booked,2024-01-31,First,5.0,2.0,19.0,32,0.59375
PA001,2024-03-05,5477.0,Upgraded,2024-02-04,First,8.0,4.0,20.0,32,0.625
PA001,2024-03-05,5325.0,Seat Changed,2024-02-05,First,3.0,2.0,21.0,32,0.65625
PA001,2024-03-05,6796.0,Seat Changed,2024-02-11,First,5.0,4.0,22.0,32,0.6875
PA001,2024-03-05,5200.0,Seat Changed,2024-02-21,First,7.0,2.0,23.0,32,0.71875
PA001,2024-03-05,9369.0,Seat Changed,2024-02-25,First,2.0,4.0,24.0,32,0.75
PA001,2024-03-05,6709.0,Upgraded,2024-02-27,First,8.0,1.0,25.0,32,0.78125
PA001,2024-03-05,190.0,Seat Changed,2024-02-28,First,3.0,4.0,26.0,32,0.8125
PA001,2024-03-05,1914.0,Seat Changed,2024-03-01,First,5.0,2.0,27.0,32,0.84375
PA001,2024-03-05,8286.0,Seat Changed,2023-12-15,Premium Economy,23.0,3.0,1.0,64,0.015625
PA001,2024-03-05,5254.0,Booked,2024-01-30,Premium Economy,20.0,1.0,2.0,64,0.03125
PA002,2024-03-30,7656.0,Upgraded,2023-12-20,Business,17.0,2.0,1.0,40,0.025
PA002,2024-03-30,1734.0,Upgraded,2023-12-28,Business,10.0,2.0,2.0,40,0.05
PA002,2024-03-30,6170.0,Upgraded,2024-01-20,Business,16.0,4.0,3.0,40,0.075
PA002,2024-03-30,3514.0,Upgraded,2024-01-28,Business,11.0,1.0,4.0,40,0.1
PA002,2024-03-30,8209.0,Seat Changed,2024-01-28,Business,14.0,1.0,5.0,40,0.125
PA002,2024-03-30,1975.0,Upgraded,2024-02-01,Business,13.0,1.0,6.0,40,0.15
PA002,2024-03-30,3766.0,Upgraded,2024-02-26,Business,13.0,3.0,7.0,40,0.175
PA002,2024-03-30,9438.0,Upgraded,2024-03-02,Business,10.0,4.0,8.0,40,0.2
PA002,2024-03-30,7558.0,Seat Changed,2024-03-05,Business,15.0,4.0,9.0,40,0.225
PA002,2024-03-30,642.0,Upgraded,2024-03-15,Business,16.0,1.0,10.0,40,0.25
PA002,2024-03-30,7687.0,Upgraded,2024-03-22,Business,13.0,4.0,11.0,40,0.275
PA002,2024-03-30,,,,Economy,,,0.0,160,0.0
PA002,2024-03-30,1346.0,Seat Changed,2024-03-26,First,5.0,2.0,1.0,32,0.03125
PA002,2024-03-30,3111.0,Booked,2023-12-14,Premium Economy,26.0,2.0,1.0,64,0.015625
PA002,2024-03-30,9369.0,Booked,2023-12-14,Premium Economy,20.0,4.0,2.0,64,0.03125
PA002,2024-03-30,1086.0,Seat Changed,2023-12-30,Premium Economy,19.0,1.0,3.0,64,0.046875
PA002,2024-03-30,6709.0,Seat Changed,2024-01-20,Premium Economy,25.0,6.0,4.0,64,0.0625
PA002,2024-03-30,8286.0,Seat Changed,2024-01-21,Premium Economy,25.0,8.0,5.0,64,0.078125
PA002,2024-03-30,2271.0,Seat Changed,2024-02-08,Premium Economy,19.0,6.0,6.0,64,0.09375
PA002,2024-03-30,9481.0,Booked,2024-02-08,Premium Economy,25.0,8.0,7.0,64,0.109375
PA002,2024-03-30,4963.0,Seat Changed,2024-02-12,Premium Economy,26.0,8.0,8.0,64,0.125
PA002,2024-03-30,3114.0,Seat Changed,2024-02-17,Premium Economy,26.0,7.0,9.0,64,0.140625
PA002,2024-03-30,4985.0,Seat Changed,2024-02-27,Premium Economy,25.0,8.0,10.0,64,0.15625
PA002,2024-03-30,4093.0,Seat Changed,2024-03-02,Premium Economy,22.0,6.0,11.0,64,0.171875
PA002,2024-03-30,4636.0,Seat Changed,2024-03-06,Premium Economy,21.0,4.0,12.0,64,0.1875
PA002,2024-03-30,7019.0,Seat Changed,2024-03-13,Premium Economy,22.0,5.0,13.0,64,0.203125
PA003,2024-03-06,9675.0,Upgraded,2023-12-10,Business,14.0,2.0,1.0,40,0.025
PA003,2024-03-06,2016.0,Upgraded,2023-12-27,Business,18.0,2.0,2.0,40,0.05
PA003,2024-03-06,3881.0,Upgraded,2024-01-11,Business,9.0,2.0,3.0,40,0.075
PA003,2024-03-06,8341.0,Seat Changed,2024-01-31,Business,10.0,2.0,4.0,40,0.1
PA003,2024-03-06,404.0,Upgraded,2024-02-15,Business,9.0,4.0,5.0,40,0.125
PA003,2024-03-06,3539.0,Upgraded,2024-02-29,Business,11.0,4.0,6.0,40,0.15
PA003,2024-03-06,3631.0,Upgraded,2024-03-02,Business,17.0,1.0,7.0,40,0.175
PA003,2024-03-06,2957.0,Booked,2024-01-17,Economy,30.0,5.0,1.0,160,0.00625
PA003,2024-03-06,6211.0,Seat Changed,2024-01-17,Economy,36.0,3.0,2.0,160,0.0125
PA003,2024-03-06,8948.0,Seat Changed,2024-01-21,Economy,40.0,9.0,3.0,160,0.01875
PA003,2024-03-06,7316.0,Seat Changed,2024-02-07,Economy,39.0,8.0,4.0,160,0.025
PA003,2024-03-06,3242.0,Seat Changed,2024-02-21,Economy,28.0,4.0,5.0,160,0.03125
PA003,2024-03-06,420.0,Seat Changed,2024-02-28,Economy,32.0,10.0,6.0,160,0.0375
PA003,2024-03-06,3193.0,Seat Changed,2024-03-01,Economy,28.0,2.0,7.0,160,0.04375
PA003,2024-03-06,2127.0,Upgraded,2023-12-20,First,2.0,3.0,1.0,32,0.03125
PA003,2024-03-06,4438.0,Upgraded,2024-01-12,First,7.0,2.0,2.0,32,0.0625
PA003,2024-03-06,4077.0,Upgraded,2024-01-22,First,5.0,2.0,3.0,32,0.09375
PA003,2024-03-06,6689.0,Upgraded,2024-02-09,First,3.0,4.0,4.0,32,0.125
PA003,2024-03-06,4907.0,Upgraded,2024-02-22,First,4.0,4.0,5.0,32,0.15625
PA003,2024-03-06,8616.0,Seat Changed,2023-12-13,Premium Economy,26.0,7.0,1.0,64,0.015625
PA003,2024-03-06,5639.0,Upgraded,2023-12-14,Premium Economy,25.0,6.0,2.0,64,0.03125
PA003,2024-03-06,279.0,Seat Changed,2023-12-18,Premium Economy,22.0,4.0,3.0,64,0.046875
PA003,2024-03-06,4278.0,Seat Changed,2024-01-02,Premium Economy,24.0,7.0,4.0,64,0.0625
PA003,2024-03-06,2474.0,Seat Changed,2024-01-04,Premium Economy,20.0,8.0,5.0,64,0.078125
PA003,2024-03-06,7594.0,Upgraded,2024-01-09,Premium Economy,23.0,5.0,6.0,64,0.09375
PA003,2024-03-06,185.0,Booked,2024-01-12,Premium Economy,19.0,5.0,7.0,64,0.109375
PA003,2024-03-06,2161.0,Seat Changed,2024-01-19,Premium Economy,25.0,7.0,8.0,64,0.125
PA003,2024-03-06,844.0,Upgraded,2024-01-29,Premium Economy,23.0,7.0,9.0,64,0.140625
PA003,2024-03-06,7026.0,Seat Changed,2024-01-31,Premium Economy,22.0,4.0,10.0,64,0.15625
PA003,2024-03-06,5088.0,Upgraded,2024-02-01,Premium Economy,19.0,2.0,11.0,64,0.171875
